,,,,,Data Analytics,-Indian Stock Market Top 2000,,,,,,,,
Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,Return on Equity,Return on Assets,Net Proﬁt Margin,5Y Avg EBITDA Margin,EBITDA Margin,1Y Return vs Nifty,5Y CAGR,Debt to Equity,Long Term Debt to Equity
Parsvnath Developers Ltd,PARSVNATH,Real Estate,652.771755,14.75,-1.52716581274565,-107.653947865508,-5.36003486079195,-99.4925748335738,10.39735888,15.2413761,26.41332526,2.558045008,1784.462151,1164.421765
Salasar Techno Engineering Ltd,SALASAR,Iron & Steel,648.6938382,226.5,21.87837566,12.88710203,5.889129442,4.886771929,10.79360593,11.0640472,7.435472127,,78.36758893,13.39525692
HLV Ltd,HLVLTD,"Hotels, Resorts & Cruise Lines",646.074701,9.55,-17.9814834684108,-8.17426913889205,-5.72065438044819,-69.1759722757027,-5.15777096140588,-38.717751251444,37.93350603,-10.1957018796811,9.759567506,2.475458813
Waaree Renewable Technologies Ltd,WAAREERTL,Renewable Energy,645.6761507,309.85,-272.437194379747,-4.27990970654628,-1.46039375173306,-15.3696498054475,30.29537478,61.15434501,556.7568397,53.25530061,231.3479624,226.1478886
Control Print Ltd,CONTROLPR,Electronic Equipments,644.0410627,385.7,22.17008822,13.39759258,10.63265194,14.07665843,26.07191901,23.47240393,29.06496644,6.976574074,0,0
Raghav Productivity Enhancers Ltd,RPEL,Commodity Chemicals,641.3210295,571.35,70.16641461,17.10809546,13.55379254,14.1332921,21.13405403,23.16375445,145.5083908,36.62941132,0,0
TCPL Packaging Ltd,TCPLPACK,Packaging,641.186,706.35,19.15703615,11.74901272,4.088313433,3.692793151,14.13317084,15.00507525,64.9238005,,111.5559993,43.79430854
V L S Finance Ltd,VLSFINANCE,Investment Banking & Brokerage,641.0162419,167.85,2.896332197,10.5659909,8.418650209,99.16659199,0.959346885,93.46267587,87.72638458,21.6318328,0,0
Mangalam Industrial Finance Ltd,MANGIND,Diversiﬁed Financials,639.4929275,6.32,954.467056,2.028458977,1.972328525,32.68292683,10.15399024,43.90243902,522.2850863,31.1311575,0,0
Hi-Tech Pipes Ltd,HITECH,Building Products - Pipes,638.6493995,517.45,28.01093857,12.037697,3.907354567,1.699678701,5.715104132,5.3375875,23.82823553,31.77048119,154.4785575,56.61306043
UTI Gold ETF,GOLDSHARE,Gold,638.508906,44.05,,,,,,,-7.4674326759097,11.33551846,,
Krishana Phoschem Ltd,KRISHANA,Fertilizers & Agro Chemicals,636.789618,253.7,32.50585084,14.41182962,11.09694961,10.2726796,21.28937838,21.4577871,198.4703738,48.6108385,14.25560843,4.663494222
BGR Energy Systems Ltd,BGRENERGY,Construction & Engineering,636.1041514,92.55,-1.56965860925355,-42.4494456170489,-6.96310029355847,-35.3362282445677,4.604861091,-18.7471661260507,86.41765934,-7.87201321598842,261.7869416,0.004042854
Skipper Ltd,SKIPPER,Power Infrastructure,634.5019102,61.75,29.59430551,3.073548702,1.180593986,1.351922264,12.12560037,9.434450056,-19.6896966092771,-16.7419824691637,61.95609177,36.21298599
Jindal Drilling and Industries Ltd,JINDRILL,Oil & Gas - Equipment & Services,634.1065555,240.65,-108.024966868824,-0.489656322989659,-0.333579587429677,-1.44599088557705,-30.5332723296271,12.32417785,141.4186369,7.362880937,29.40442225,16.05385164
BMW Industries Ltd,BMW,Iron & Steel,633.6183849,27.4,-3.60666202698088,-28.9178044986543,-17.3384390667561,-43.0725476254689,8.157754299,-32.6010738715767,-27.7116552605324,,50.54613284,19.50117303
Roto Pumps Ltd,ROTO,Industrial Machinery,632.7848225,400,34.50298923,19.22230374,12.99925577,13.93617021,20.89061376,24.32370821,182.5201356,46.83597627,12.05227493,0.900290416
Globus Power Generation Ltd,GLOBUSCON,Power Generation,628.8175904,60.4,-27.1510185837651,-107.271885132006,-75.1094535430517,,,,793.5398022,34.32865058,0,0
Universus Photo Imagings Ltd,UNIVPHOTO,Health Care Equipment & Supplies,628.3898026,568.5,18.34714752,2.95433079,2.922292613,43.69179742,,50.14670239,207.9251864,,0,0
Unitech Ltd,UNITECH,Real Estate,627.9122513,2.35,-0.401953878487981,-28.4221318372816,-5.89363130160912,-88.5100909945947,-30.4624681810353,-43.0360238874976,14.45680352,-16.5304689125938,82.61488593,23.88368389
LIC MF Sensex 30 ETF,LICNETFSEN,Equity,626.727806,617.23,,,,,,,0.129475063,16.71332275,,
Lincoln Pharmaceuticals Ltd,LINCOLN,Pharmaceuticals,620.5209734,338.35,9.973014681,18.05650275,14.66121564,14.4748168,17.97666665,21.59823194,32.20280396,7.548470772,0.138408304,0.037263774
Niyogin Fintech Ltd,NIYOGIN,Diversiﬁed Financials,618.9693579,65.6,-89.4464390028901,-2.49607733511281,-2.23763560815508,-13.6677858976891,-658.167410099138,-4.4242543946277,-6.9473377252418,30.54839813,0.092829706,0.092829706
Steel Cast Ltd,STEELCAS,Iron & Steel,617.32,296.95,51.31504572,9.754317684,6.176198788,7.555583469,19.56837809,20.89561613,112.5001702,33.51100281,17.94672672,6.864953017
Nectar Lifesciences Ltd,NECLIFE,Pharmaceuticals,616.7176675,27.85,-8.41590703466156,-6.66739454816757,-2.87122020981693,-4.73666520154097,10.49809029,5.656462497,27.457949,-4.81837105672158,85.06445204,12.07404687
Cosmo Ferrites Ltd,COSMOFE,0,614.6127,485.4,341.4515,10.79136691,2.260454603,2.768804799,3.69421035,12.15197662,1927.690722,79.70493411,256.7121729,33.33333333
White Organic Retail Ltd,WORL,Agro Products,614.61126,535.3,2458.44504,0.687096331,0.40006401,0.402511673,8.454753865,0.563516342,1424.332903,,18.84415229,18.73459326
Kokuyo Camlin Ltd,KOKUYOCMLN,Stationery,614.3608118,63.55,-42.0507058008213,-5.92998477929985,-3.35291687703677,-3.3350073046019,5.083919,2.09550767,-8.93180431128585,-4.79528943735768,32.12482037,5.514268117
Asian Granito India Ltd,ASIANTILES,Building Products - Granite,612.633889,111.75,10.7517355,9.47794772,4.339432249,4.390642338,10.86423108,10.89646776,-35.2669256332793,-16.9942341251696,44.90934874,17.90457602
State Trading Corporation of India Ltd,STCINDIA,Commodities Trading,610.5,102.05,-12.1010901883053,,-2.07596509745103,-16.254792666817,-3.83080423921295,-10.4488191513355,17.03888658,-8.53863111542298,,
RACL Geartech Ltd,RACLGEAR,Auto Parts,608.190056,574.95,25.90247257,24.31145165,9.513583598,11.30313388,18.03183816,26.53925769,113.7892927,73.0487128,99.29649172,47.87559011
Automobile Corp Of Goa Ltd,ACGL,Trucks & Buses,608.0097929,988.55,-48.6407834336,-7.17689613595912,-5.06390650003038,-9.90962422704931,4.19233701,-8.78389091485651,113.6096249,9.550789824,10.42816023,0.341808587
Deep Industries Ltd,DEEPINDS,Oil & Gas - Equipment & Services,605.76,197.55,9.35103427,6.291824901,5.378924381,32.34794767,,43.39358834,-16.098752034726,,3.851080261,0.798658856
Jash Engineering Ltd,JASH,Construction & Engineering,605.6044495,543.9,19.84287187,21.65998368,10.15961785,10.09626518,13.67938573,18.04227728,77.666834,,46.04068057,15.54944352
Likhitha Infrastructure Ltd,LIKHITHA,Construction & Engineering,604.078125,307.85,20.83746551,25.95693244,21.50354189,15.0253965,17.91712401,21.57665596,-13.6357798263718,,0.00651848,0
Delphi World Money Ltd,DELPHIFX,Tour & Travel Services,603.0203591,525.45,14.78353418,24.8992797,15.40669676,34.42484598,20.46087933,50.05485695,-4.68017697111275,10.19408325,6.521503041,0.293223284
Harita Seating Systems Ltd,HARITASEAT,Auto Parts,595.5357612,766.55,43.1547653,5.179110919,2.786358956,1.840368074,9.134139613,7.801560312,-13.6325042068955,2.046722337,7.817437518,0.172364263
Talbros Automotive Components Ltd,TALBROAUTO,Auto Parts,595.3062786,494.45,15.21744066,17.56426086,7.756210718,8.158838742,14.21070775,18.97055143,112.6015255,30.22959502,41.53839939,5.704359068
Rane (Madras) Ltd,RML,Auto Parts,593.3569402,357,-9.70488943670264,-33.4326725905674,-6.25806055395198,-4.79807888499993,6.7297025,3.007235572,-18.7705077599168,-6.10632157021898,253.076035,104.10138
Gujarat Themis Biosyn Ltd,GUJTHEM,Pharmaceuticals,591.681389,420,19.60508247,53.83037546,39.62189839,32.16455291,28.28910122,46.46701481,82.62374619,52.75364511,6.905919359,1.429796969
Oswal Greentech Ltd,BINDALAGRO,Real Estate,590.6610657,22.85,11.59068025,2.113080491,2.069227349,44.40571628,69.4371615,73.95433949,20.72759527,-2.66189159483964,0.217903367,0.113260507
R & B Denims Ltd,RNBDENIMS,,588.4766304,88.3,70.98632454,23.0405781,5.870273332,4.523134003,9.251845864,14.47512003,1015.95253,80.96303084,167.1990172,88.25552826
Rossell India Ltd,ROSSELLIND,Tea & Coﬀee,584.3913644,164.75,17.75725811,16.37720826,7.575182129,10.14832403,11.64305678,21.37901261,30.2806349,6.535083787,82.16716833,16.19819403
Aarti Surfactants Ltd,AARTISURF,Specialty Chemicals,581.7293859,777.9,26.88213428,15.36277155,6.698031447,4.645471524,,9.782538694,-35.5457852748627,,87.01256001,45.55139081
Indraprastha Medical Corporation Ltd,INDRAMEDCO,Hospitals & Diagnostic Centres,579.831725,62.7,248.8548176,0.862084914,0.528986412,0.379441748,9.51099821,6.66872944,-1.99502137048576,2.469569479,0,0
Tanfac Industries Ltd,TANFACIND,Diversiﬁed Chemicals,579.497625,585.4,33.13308319,23.5650768,16.70806267,11.71702284,17.84297969,23.21296979,133.1136788,55.6877882,0,0
Nelcast Ltd,NELCAST,Iron & Steel,578.122974,67.05,63.95165642,2.112914724,1.1172632,1.458417359,10.08557674,8.271355973,-17.7128386084604,3.192665851,49.60720887,24.83133087
Zuari Agro Chemicals Ltd,ZUARI,Fertilizers & Agro Chemicals,577.0358423,136.7,-3.67304800967536,-22.5363831328585,-2.64082435408227,-6.15371357616544,4.103169301,7.075007932,36.12841946,-16.0503933998096,289.7740971,93.0632309
Kothari Petrochemicals Ltd,KOTHARIPET,Commodity Chemicals,576.988952,96.5,25.59844508,20.18356839,14.24193599,9.682962454,10.4126291,16.27287568,256.4881206,34.83849066,3.15114107,2.30650532
Mawana Sugars Ltd,MAWANASUG,Sugar,576.1914067,153.5,7.862874,22.00303262,5.135338741,4.621302895,13.47971854,11.88055748,293.7810878,11.94864136,75.01420109,20.3846466
UTI Nifty Next 50 ETF,UTINEXT50,Equity,570.5464645,42.53,,,,,,,5.069339133,,,
SVP Global Textiles Ltd,SVPGLOB,Textiles,565.455,45.2,22.74557522,1.985773681,0.641973332,1.747750281,14.02178092,16.46512936,-51.2493976588293,-28.4831625960866,174.2889596,118.6327699
Rajnandini Metal Ltd,RAJMET,Metals - Diversiﬁed,565.4016,318.1,111.7394466,29.69483568,6.636500754,0.80091171,2.431267279,1.826585204,417.1786998,,217.4668029,84.78038815
Loyal Textile Mills Ltd,LOYALTEX,Textiles,564.8005402,1141,17.19855482,12.96409609,3.32170131,2.90573183,9.982547454,10.30012918,124.2635821,9.373377421,141.6489382,4.881872131
Plastiblends India Ltd,PLASTIBLEN,Specialty Chemicals,561.106828,217.4,15.02294051,12.22605935,8.669212111,6.430342263,11.13561055,12.40961366,-23.8824211757652,-1.49452115875203,9.666767646,0
NBI Industrial Finance Company Ltd,NBIFIN,Diversiﬁed Financials,560.1763361,2307.4,345.7878618,0.077920017,0.07566487,75,74.35842624,45.83333333,11.62536299,-13.188870464278,0,0
Rama Steel Tubes Ltd,RAMASTEEL,Building Products - Pipes,558.90432,335.25,45.18224091,13.17499201,5.10008452,2.588028537,5.971557705,5.410381405,372.6038719,22.57702415,85.48274137,29.9949975
South West Pinnacle Exploration Ltd,SOUTHWEST,Mining - Diversiﬁed,558.885072,209,54.73898844,11.46611264,5.859397418,9.576962761,26.72009866,25.02579495,341.2316637,,52.66567545,11.19371283
Deep Polymers Ltd,DEEP,Specialty Chemicals,558.4473055,252.55,305.162462,6.937073541,6.11937803,4.539816423,9.531858558,7.119821384,533.8461009,,0,0
Satin Creditcare Network Ltd,SATINPP1,,557.6399566,63.85,,,,,,,115.6616835,,,
Snowman Logistics Ltd,SNOWMAN,Logistics,557.2384633,32.55,9287.307722,0.014293712,0.009171227,0.024940766,24.74294556,28.46157044,-47.6444933596471,-12.7429576088049,52.50095274,48.68997713
Finkurve Financial Services Ltd,FINKURVE,Diversiﬁed Financials,556.9074892,46.05,122.1288354,3.31046499,2.076455454,15.92734893,10.96972227,25.0436605,-10.9617657333561,10.38362773,55.57460181,44.33969002
IFB Agro Industries Ltd,IFBAGRO,Alcoholic Beverages,556.4063934,580.5,11.99668809,11.23505687,9.532716043,6.456103231,6.863245229,10.05025126,36.34347486,5.638810198,0.681925596,0.121531294
Rane Brake Linings Ltd,RBL,Auto Parts,554.9660884,690.3,17.45176379,13.63402504,8.555631785,6.975672889,14.32801373,15.70842565,-29.9028351963667,-5.73216722724028,0,0
Vascon Engineers Ltd,VASCONEQ,Construction & Engineering,554.1586331,24.9,-13.5723397759,-5.62071528867599,-3.05196868050755,-7.87950133158364,7.861223495,-0.0694739279787138,29.09075234,-7.2618251548792,30.13706357,6.015567714
Lancer Container Lines Ltd,LANCER,Logistics,553.9937856,177.55,56.99524543,24.47129909,8.759913482,3.095147115,10.33191661,8.285568717,617.5789339,74.41570923,49.71966809,38.28212604
Madras Fertilizers Ltd,MADRASFERT,Fertilizers & Agro Chemicals,552.577459,36.5,192.5357,,0.218274189,0.186356376,4.650172717,9.200290898,23.74799126,17.49545084,,
,,,,,,,9,,,,,,,
IST Ltd,ISTLTD,Industrial Machinery,551.704048,475,5.761320468,11.09090699,10.43432781,53.89767547,79.66099316,81.02662239,6.735486393,4.70208514,0.023819835,0
B L Kashyap and Sons Ltd,BLKASHYAP,Construction & Engineering,551.2008,24.7,-9.43675398048278,-13.9473244346809,-3.49954316013361,-7.4184616947775,7.498748752,8.863798009,9.921656129,1.928614648,136.8751318,29.26861422
Mallcom (India) Ltd,MALLCOM,Business Support Services,550.7424,711.35,19.48840764,21.99392949,12.57648917,8.828491097,10.99854496,14.00499844,65.39123393,25.14477408,38.7314348,2.418585638
Kanoria Chemicals and Industries Ltd,KANORICHEM,Specialty Chemicals,548.7882625,127.15,37.82138267,2.467875943,1.060788829,1.310986628,6.86226955,9.195880014,21.06413901,12.88961186,82.28921733,57.96271414
Zuari Global Ltd,ZUARIGLOB,Conglomerates,547.0064223,185.75,-5.8836874510057,-5.51412040675312,-2.0822927842071,-9.46221018991593,3.4722759,11.73285566,114.9335863,8.11455516,101.2940891,73.6099952
Centum Electronics Ltd,CENTUM,Electronic Equipments,546.57241,421,31.85153905,7.300574346,1.672188657,2.084497461,9.785900216,11.44894439,-9.5569324725344,-6.84071018716315,155.178445,62.79098821
Gloster Ltd,GLOSTERLTD,Textiles,546.0960322,985,13.22907055,4.287561605,3.715855849,7.928246298,17.54713112,18.43009968,61.33077152,,2.444911547,0
Kamdhenu Ltd,KAMDHENU,Iron & Steel,545.0398425,233,36.14322563,8.033027034,3.369079535,2.398562135,4.243988868,6.926882028,51.76868312,21.47194978,51.47360854,3.809817211
Mangalam Global Enterprise Ltd,MGEL,Commodity Chemicals,544.1178344,222.15,94.13803362,8.868431147,3.256521494,0.599156206,2.771083265,1.696918181,359.0884137,,174.2816092,19.66954023
Tourism Finance Corporation of India Ltd,TFCILTD,Specialized Finance,544.042137,58.95,6.741538252,10.44585822,3.644451469,31.21856867,42.87827108,39.05609284,-22.9707899494179,-5.68704688739824,171.7568438,171.7568438
Bigbloc Construction Ltd,BIGBLOC,Building Products - Granite,544.0048194,75,220.2448661,7.98835705,2.24474031,2.395035392,12.41080433,11.95578396,-45.3106444368024,3.110416808,190.5565979,114.9781113
Investment Trust of India Ltd,THEINVEST,Investment Banking & Brokerage,542.2508102,105.45,35.93444733,2.448184952,1.29594641,4.386627907,13.62395725,9.997093023,3.867118272,,42.00108807,0.918458781
Aym Syntex Ltd,AYMSYNTEX,Textiles,542.1606754,108.05,38.45111173,4.021963916,1.709308457,1.483866894,9.545282604,9.911388942,118.7925523,6.355720431,63.24162613,44.15086954
Oricon Enterprises Ltd,ORICONENT,Logistics,540.2441396,34.6,-277.048276717943,-0.185206291315253,-0.131567850215066,-0.288730621733278,12.98241511,13.50815109,56.90124797,-7.70011613373529,20.19303593,5.379144731
Repro India Ltd,REPRO,Stationery,538.1174682,426.2,-12.4047364724527,-15.747631321015,-8.80168810615591,-31.2468486638335,8.445194782,-2.98206439530363,-1.54425667119958,-0.329886855303585,55.01693313,32.65338269
Sterling Tools Ltd,STERTOOLS,Industrial Machinery,537.4812281,146.6,22.87154162,7.367117576,4.892520689,6.554907813,19.32835899,17.93813283,-44.9682328692723,-6.19606797104624,31.80885725,11.4848558
Morganite Crucible (India) Ltd,MORGANITE,Industrial Machinery,537.432,978,-584.165217391308,-0.875107010368111,-0.660445082555631,-0.829202343397922,19.73970605,10.37404236,0.998949115,20.02971492,0,0
Ruby Mills Ltd,RUBYMILLS,Textiles,536.8792,319.85,20.76902128,5.316632731,2.487119415,19.36184555,30.56266671,36.3268669,65.01676325,-1.34466408781652,79.00344468,65.27677642
Hindusthan Urban Infrastructure Ltd,HUIL,Heavy Electrical Equipments,536.7820777,3670,-639.026282976183,-0.170482221139797,-0.0871084655947496,-0.153494746459572,7.93885947,11.94152581,4.991389182,37.6296713,55.92521085,28.62920435
Suumaya Industries Ltd,SUULD,Apparel & Accessories,534.97608,183.85,1.317383043,154.9074957,18.21133472,9.524982291,4.106028593,11.14762327,-25.6658941891775,,13.47928165,1.799983524
Arihant Superstructures Ltd,ARIHANTSUP,Real Estate,534.4624831,129.2,47.89090351,7.198142415,1.55380899,4.098270354,23.35904734,18.42018288,258.9375324,,180.9675444,153.0312309
Forbes & Company Ltd,FORBESCO,Conglomerates,531.4229792,421.6,-6.84206230462212,-3170.20408163264,-3.24978399626779,-2.63702013668911,3.920925053,5.011594469,195.7073213,25.36597318,,
Navkar Corporation Ltd,NAVKARCORP,Logistics,530.580113,35.5,33.28607986,0.874512407,0.647974065,2.365336103,32.19172142,21.21679774,-21.9342958013042,-27.3285806882,32.56711675,24.7533456
TAAL Enterprises Ltd,TAALENT,Conglomerates,529.5132509,1720.45,16.64612546,50.17745879,30.78337446,25.68636951,22.62942651,33.48675711,260.6971306,55.86912227,0,0
Sadbhav Engineering Ltd,SADBHAV,Construction & Engineering,529.295918,30.05,-3.4170169012266,-8.13599560897848,-1.25946325237481,-5.91052179719546,37.23994381,37.22598493,-70.9786319146059,-37.6086400463184,398.0789276,300.7985788
Gallantt Metal Ltd,GALLANTT,Iron & Steel,529.0017176,64.15,6.49799432,11.69700714,9.241422369,8.065506856,9.35733418,11.22889752,25.98319702,9.312787178,15.47772516,0
Kriti Industries (India) Limited,KRITIIND,Building Products - Pipes,528.277488,107.1,16.5482625,30.88915539,10.24359065,6.114351601,8.067455851,11.44194249,8.653723213,19.74573189,52.71577381,14.20386905
Chaman Lal Setia Exports Ltd,CLSEL,Packaged Foods & Meats,527.4235423,105.1,6.431210124,26.33294267,17.39305635,9.594057089,11.19515471,14.17992513,12.85830318,1.050382633,27.40768285,16.4783616
Amines and Plasticizers Ltd,AMNPLST,Commodity Chemicals,525.1659,94.55,16.10444342,26.2096126,12.15385189,7.299057681,10.28424605,12.91044609,21.62885175,23.62037189,52.31261101,19.52397869
Dewan Housing Finance Corporation Ltd,DHFL,Home Financing,524.0794,16.7,-0.0348198445702228,-1125.43942188264,-13.9850279306964,-170.981813720423,-75.7301765990476,-227.612722784481,-21.7484695488503,-45.9268433773166,,
Raghuvansh Agrofarms Ltd,RAFL,Agro Products,523.895498,440,114.3876633,8.28584351,7.662707044,20.82764893,23.89797249,30.01364256,165.6815874,42.6842209,0.138985407,0.138985407
Artemis Medicare Services Ltd,ARTEMISMED,Business Support Services,523.551035,39.1,80.79491281,2.039467472,1.092260626,1.560806417,11.76375927,10.10670328,63.25904613,,45.59129759,38.4957265
Windlas Biotech Ltd,WINDLAS,Pharmaceuticals,521.8663094,233.5,32.9877566,7.740104702,4.985817838,3.625613054,13.16402074,8.248155108,-16.098752034726,,16.24648453,0.672961029
Pennar Industries Ltd,PENIND,Iron & Steel,521.0245766,37.15,205.1277861,0.363480252,0.135614577,0.162407207,10.0235464,8.407450271,83.09695842,-2.35440161993944,88.72972585,20.01865939
Crest Ventures Ltd,CREST,Asset Management,520.6308825,181.35,174.7083498,0.518558477,0.427549695,4.190101237,39.3256882,14.7215973,95.88254545,2.684777913,20.58202706,20.58202706
Wim Plast Ltd,WIMPLAST,Housewares,518.845236,426.9,16.15836923,8.764603123,7.855369222,11.65474937,22.0108168,21.98831258,-27.7228075155251,-20.9507680282705,0,0
Asian Energy Services Ltd,ASIANENE,Oil & Gas - Exploration & Production,516.4186413,118.95,22.88075504,11.72833091,6.901085461,9.312208607,15.54337283,20.03135702,6.403822631,,1.219092563,1.071621688
Sandesh Ltd,SANDESH,Publishing,514.4178512,678.15,5.717024352,10.74073853,9.965445444,27.90423618,30.87191415,38.64975501,-14.4956356964235,-6.38721057187104,0.011254924,0
Beta Drugs Ltd,BETA,Pharmaceuticals,514.337765,554.95,43.88547483,18.64460706,10.43215096,10.04973418,19.34706519,21.64294289,350.2457858,,25.4481854,16.22212505
Ducon Infratechnologies Ltd,DUCON,IT Services & Consulting,513.1594169,24.75,1251.608334,0.364282541,0.147907648,0.119711524,3.731979091,3.830768782,270.619998,-9.13185049043127,44.8380011,0
Yaari Digital Integrated Services Ltd,YAARI,Business Support Services,512.7296219,58.55,-5.42685882631245,-21.0704727921499,-5.7106246146779,-38.2169727368336,20.88269612,31.93511852,-74.0973173144964,12.77280256,65.86803764,14.19071817
Swelect Energy Systems Ltd,SWELECTES,Electrical Components & Equipments,512.5934694,326.2,19.64712416,3.553116297,2.333913308,9.238995715,20.249066,25.99596303,53.35579342,7.539541695,47.84936188,20.07929727
D Link (India) Limited,DLINKINDIA,Technology Hardware,512.5125098,141.9,16.3428734,12.42423042,7.760071266,4.275974911,5.434447964,6.641668939,21.33466201,0.522539375,2.681186632,1.013894104
Jai Balaji Industries Ltd,JAIBALAJI,Iron & Steel,512.489327,45.55,-6.76018107162642,,-2.53311747871109,-2.71136369326291,-0.306508684831326,3.798984982,17.47896058,24.71028933,,
Virinchi Ltd,VIRINCHI,Software Services,511.8153198,67.75,186.7939123,0.729528602,0.435605157,0.750294367,27.73152345,28.04841315,253.6147541,8.57568843,69.55746561,53.13606003
International Conveyors Ltd,INTLCONV,Industrial Machinery,511.65,83.3,30.78519856,12.02996634,7.644366764,9.324506284,13.54629101,16.21409336,91.37322804,35.62934812,29.64935065,0.103896104
B&B Triplewall Containers Ltd,BBTCL,Packaging,510.72888,246,32.18203403,27.59280188,12.28565899,6.740570846,10.46821933,14.30088345,220.8875493,-29.3745197068896,73.52581729,31.74457684
Exxaro Tiles Ltd,EXXARO,Building Products - Ceramics,510.7193141,114.15,33.5337698,11.56064976,4.027129579,5.860848149,18.87431487,20.03386439,-16.098752034726,,112.9094689,47.62382625
MMP Industries Ltd,MMP,Metals - Aluminium,501.0665414,196.35,28.73087967,8.726108276,6.898324862,7.470870459,12.51252596,12.30294722,111.9500285,,14.12164426,0.148346653
Rubﬁla International Ltd,RUBFILA,Commodity Chemicals,499.5326044,92.5,14.94711563,18.99673156,14.38192577,10.26728111,13.63901532,15.85867896,41.21417314,13.87776118,0,0
Cybertech Systems and Software Ltd,CYBERTECH,IT Services & Consulting,497.5575658,173.5,20.65411232,23.06145893,17.68852339,19.30443144,18.95604452,23.82402436,19.76655728,18.74147188,6.106271777,1.036585366
Take Solutions Ltd,TAKE,IT Services & Consulting,494.83923,32,-1.09472861820273,-33.3632260516886,-21.0676441869624,-57.3418412005734,6.369308238,-36.0057846731533,-54.083248158757,-25.1550171041637,45.73334519,11.95944143
Manaksia Ltd,MANAKSIA,Metals - Diversiﬁed,494.4544073,76.6,8.292041041,6.103190281,5.192328624,6.672410706,15.72412806,14.95501746,32.2071531,2.945786846,5.352541818,0.032718498
V2 Retail Ltd,V2RETAIL,Retail - Apparel,492.4553631,142.05,-38.3532214267916,-4.6871577717748,-1.67461150708513,-2.29093439434758,10.8020375,13.00515639,-3.27111104981732,-6.05779089848235,147.4730182,115.1730555
Radhe Developers (India) Ltd,RADHEDE,Real Estate,492.267045,195,-169.747256896552,-9.46012069809166,-4.900718208703,-325.842696629214,-51.9392007084205,-273.033707865169,2194.327788,35.27336426,1.678082192,0.273972603
Sintex Industries Ltd,SINTEX,Plastic Products,491.3587288,7.8,-0.3761137229813,-52.0449932374694,-12.7961987822939,-74.3643163305384,3.291658903,-13.0295940845984,86.49865056,-39.9509939952013,347.4238153,0
MPS Infotecnics Ltd,VISESHINFO,IT Services & Consulting,490.6767652,1.25,-90.3640451473297,-1.22006021660001,-1.10155394165619,-1086,-58.2441609531601,-270,1133.901248,,5.43797766,0.635372858
Consolidated Finvest & Holdings Ltd,CONSOFINVT,Asset Management,489.9060767,145.8,1.152150882,32.60812883,32.46038926,94.19179053,-226.611498683263,99.82943092,141.9543453,14.23447165,0.035652303,0.035652303
Universal Cables Ltd,UNIVCABLES,Cables,489.7253028,140.7,7.283243647,6.325910455,2.966472769,4.913085731,14.49713622,13.06161816,-15.8493754761225,8.621437007,53.66259565,7.634259952
Hindustan Media Ventures Ltd,HMVL,Publishing,488.7522641,66.6,7.038483066,4.481228724,3.447017739,10.47249913,22.59377525,18.71898895,-12.682602966403,-25.5181131873452,5.536943451,1.884554477
MIRC Electronics Ltd,MIRCELECTR,Home Electronics & Appliances,487.3100261,21.15,257.8359926,0.848656294,0.304139679,0.24360065,3.023267192,3.031474751,45.97021348,10.22329862,38.29082774,3.758389262
Saurashtra Cement Ltd,SAURASHCEM,Cement,486.0026236,66.15,6.723887985,14.84646195,10.40576434,10.53628956,11.46966301,18.49389951,-1.25500203472597,1.869108922,4.217674063,0.96786534
Sarla Performance Fibers Ltd,SARLAPOLY,Textiles,484.3174,57.05,18.45721799,7.915416057,4.220176109,9.57175166,22.83174579,26.81841395,108.0662774,-0.820764123280515,43.22348573,11.15107914
Rana Sugars Ltd,RANASUG,Sugar,482.9707939,31.65,3.062592225,52.14084973,14.33525591,12.14328616,10.59124939,15.63072706,274.6419887,25.05085715,41.73178955,23.95389561
Rico Auto Industries Ltd,RICOAUTO,Auto Parts,482.96745,35.6,-34.0597637517627,-2.30051023305242,-0.927980105363053,-0.952675284190167,10.13723567,6.904544355,-23.9900845056186,-9.20648350144796,88.94417894,39.59370022
Sintex Plastics Technology Ltd,SPTL,Plastic Products,480.2942285,7.2,-0.738198712755329,-55.8269838001098,-11.3712210915414,-68.6760468233779,5.264961046,14.72572014,73.37493218,,374.6331794,0.965698953
Man Industries India Ltd,MANINDS,Building Products - Pipes,480.2366926,85.95,4.761890853,12.75581189,5.582525615,4.777447228,10.32254858,11.17122068,-7.3012836802956,13.00010488,35.40149483,1.154656957
Stovec Industries Ltd,STOVACQ,Industrial Machinery,479.982678,2261,16.19374757,9.977794226,7.514982578,12.32073825,20.31283278,18.35224675,10.96298052,0.088691935,0,0
Bannari Amman Spinning Mills Ltd,BASML,Textiles,479.1814267,75.25,-43.6015856860779,-3.20997750971174,-0.930756461939775,-1.07353573242684,9.792047792,8.081311296,60.75201177,-6.62295465065463,172.9618438,55.48346961
Vinyl Chemicals India Ltd,VINYLINDIA,Specialty Chemicals,478.6902827,256.8,42.1753553,17.5669401,5.347089723,2.798875518,3.735385598,3.772933517,101.344093,30.40360016,0.719741481,0.719741481
Bombay Super Hybrid Seeds Ltd,BSHSL,Seeds,478.2591411,425,82.17511015,22.26898795,9.730000836,3.388251732,4.883466571,5.303603656,205.8709449,,105.0812306,7.016937435
